state,sat_takers_2019,high_school_graduates_2019,sat_participation_rate_2019,source_2019,sat_takers_2018,high_school_graduates_2018,sat_participation_rate_2018,source_2018,sat_takers_2017,high_school_graduates_2017,sat_participation_rate_2017,source_2017
Alabama,"3,240","48,690",7%,https://reports.collegeboard.org/pdf/2019-alabama-sat-suite-assessments-annual-report.pdf,"2,878","49,844",6%,https://reports.collegeboard.org/pdf/2018-alabama-sat-suite-assessments-annual-report.pdf,"2,393","49,102",5%,https://reports.collegeboard.org/pdf/2017-alabama-sat-suite-assessments-annual-report.pdf
Alaska,"3,212","7,758",41%,https://reports.collegeboard.org/pdf/2019-alaska-sat-suite-assessments-annual-report.pdf,"3,334","7,796",43%,https://reports.collegeboard.org/pdf/2018-alaska-sat-suite-assessments-annual-report.pdf,"2,971","7,770",38%,https://reports.collegeboard.org/pdf/2017-alaska-sat-suite-assessments-annual-report.pdf
Arizona,"21,472","68,985",31%,https://reports.collegeboard.org/pdf/2019-arizona-sat-suite-assessments-annual-report.pdf,"20,188","68,627",29%,https://reports.collegeboard.org/pdf/2018-arizona-sat-suite-assessments-annual-report.pdf,"20,466","67,909",30%,https://reports.collegeboard.org/pdf/2017-arizona-sat-suite-assessments-annual-report.pdf
Arkansas,"1,790","31,314",6%,https://reports.collegeboard.org/pdf/2019-arkansas-sat-suite-assessments-annual-report.pdf,"1,591","31,126",5%,https://reports.collegeboard.org/pdf/2018-arkansas-sat-suite-assessments-annual-report.pdf,"1,065","30,904",3%,https://reports.collegeboard.org/pdf/2017-arkansas-sat-suite-assessments-annual-report.pdf
California,"272,892","431,009",63%,https://reports.collegeboard.org/pdf/2019-california-sat-suite-assessments-annual-report.pdf,"262,228","435,365",60%,https://reports.collegeboard.org/pdf/2018-california-sat-suite-assessments-annual-report.pdf,"226,699","425,864",53%,https://reports.collegeboard.org/pdf/2017-california-sat-suite-assessments-annual-report.pdf
Colorado,"59,494","58,611",100%,https://reports.collegeboard.org/pdf/2019-colorado-sat-suite-assessments-annual-report.pdf,"58,790","57,545",100%,https://reports.collegeboard.org/pdf/2018-colorado-sat-suite-assessments-annual-report.pdf,"5,896","55,537",11%,https://reports.collegeboard.org/pdf/2017-colorado-sat-suite-assessments-annual-report.pdf
Connecticut,"44,029","40,056",100%,https://reports.collegeboard.org/pdf/2019-connecticut-sat-suite-assessments-annual-report.pdf,"44,700","40,782",100%,https://reports.collegeboard.org/pdf/2018-connecticut-sat-suite-assessments-annual-report.pdf,"43,252","41,529",100%,https://reports.collegeboard.org/pdf/2017-connecticut-sat-suite-assessments-annual-report.pdf
Delaware,"10,990","9,689",100%,https://reports.collegeboard.org/pdf/2019-delaware-sat-suite-assessments-annual-report.pdf,"11,055","9,809",100%,https://reports.collegeboard.org/pdf/2018-delaware-sat-suite-assessments-annual-report.pdf,"10,060","9,572",100%,https://reports.collegeboard.org/pdf/2017-delaware-sat-suite-assessments-annual-report.pdf
District of Columbia,"4,980","5,305",94%,https://reports.collegeboard.org/pdf/2019-district-columbia-sat-suite-assessments-annual-report.pdf,"4,985","5,397",92%,https://reports.collegeboard.org/pdf/2018-district-columbia-sat-suite-assessments-annual-report.pdf,"4,801","5,305",90%,https://reports.collegeboard.org/pdf/2017-district-columbia-sat-suite-assessments-annual-report.pdf
Florida,"190,853","181,998",100%,https://reports.collegeboard.org/pdf/2019-florida-sat-suite-assessments-annual-report.pdf,"176,746","181,306",97%,https://reports.collegeboard.org/pdf/2018-florida-sat-suite-assessments-annual-report.pdf,"147,058","177,707",83%,https://reports.collegeboard.org/pdf/2017-florida-sat-suite-assessments-annual-report.pdf
Georgia,"76,340","108,052",71%,https://reports.collegeboard.org/pdf/2019-georgia-sat-suite-assessments-annual-report.pdf,"74,240","106,727",70%,https://reports.collegeboard.org/pdf/2018-georgia-sat-suite-assessments-annual-report.pdf,"63,805","103,912",61%,https://reports.collegeboard.org/pdf/2017-georgia-sat-suite-assessments-annual-report.pdf
Hawaii,"7,346","13,702",54%,https://reports.collegeboard.org/pdf/2019-hawaii-sat-suite-assessments-annual-report.pdf,"7,880","14,043",56%,https://reports.collegeboard.org/pdf/2018-hawaii-sat-suite-assessments-annual-report.pdf,"7,352","13,330",55%,https://reports.collegeboard.org/pdf/2017-hawaii-sat-suite-assessments-annual-report.pdf
Idaho,"20,749","20,739",100%,https://reports.collegeboard.org/pdf/2019-idaho-sat-suite-assessments-annual-report.pdf,"20,484","20,239",100%,https://reports.collegeboard.org/pdf/2018-idaho-sat-suite-assessments-annual-report.pdf,"18,757","20,164",93%,https://reports.collegeboard.org/pdf/2017-idaho-sat-suite-assessments-annual-report.pdf
Illinois,"146,681","145,526",100%,https://reports.collegeboard.org/pdf/2019-illinois-sat-suite-assessments-annual-report.pdf,"145,919","146,800",99%,https://reports.collegeboard.org/pdf/2018-illinois-sat-suite-assessments-annual-report.pdf,"12,402","144,616",9%,https://reports.collegeboard.org/pdf/2017-illinois-sat-suite-assessments-annual-report.pdf
Indiana,"49,565","75,014",66%,https://reports.collegeboard.org/pdf/2019-indiana-sat-suite-assessments-annual-report.pdf,"48,962","73,285",67%,https://reports.collegeboard.org/pdf/2018-indiana-sat-suite-assessments-annual-report.pdf,"45,622","72,021",63%,https://reports.collegeboard.org/pdf/2017-indiana-sat-suite-assessments-annual-report.pdf
