State,Participation Rate,EBRW,Math,Total
Alabama,7%,583,560,1143
Alaska,41%,556,541,1097
Arizona,31%,569,565,1134
Arkansas,6%,582,559,1141
California,63%,534,531,1065
Colorado,100%,518,506,1024
Connecticut,100%,529,516,1046
Delaware,100%,499,486,985
District of Columbia,94%,495,480,975
Florida,100%,516,483,999
Georgia,71%,538,519,1058
Hawaii,54%,550,550,1100
Idaho,100%,505,488,993
Illinois,100%,509,504,1013
Indiana,66%,543,537,1080
Iowa,3%,622,622,1244
Kansas,4%,618,623,1241
Kentucky,4%,620,612,1232
Louisiana,5%,610,591,1200
Maine,99%,512,502,1013
Maryland,82%,535,523,1058
Massachusetts,81%,559,561,1120
Michigan,100%,507,496,1003
Minnesota,4%,636,648,1284
Mississippi,3%,628,608,1237
Missouri,4%,622,615,1236
Montana,9%,603,596,1199
Nebraska,3%,628,631,1260
Nevada,20%,580,576,1156
New Hampshire,95%,533,526,1059
New Jersey,82%,544,545,1090
New Mexico,18%,543,530,1073
New York,79%,531,533,1064
North Carolina,51%,554,546,1100
North Dakota,2%,627,636,1263
Ohio,19%,550,548,1097
Oklahoma,22%,490,472,963
Oregon,51%,562,550,1112
Pennsylvania,70%,545,537,1082
Puerto Rico,—,483,462,944
Rhode Island,100%,503,492,995
South Carolina,68%,526,504,1030
South Dakota,3%,633,635,1268
Tennessee,7%,618,602,1220
Texas,68%,515,507,1022
Utah,4%,614,615,1230
Vermont,66%,560,546,1106
Virgin Islands,—,490,445,935
Virginia,68%,567,551,1119
Washington,70%,539,535,1074
West Virginia,99%,483,460,943
Wisconsin,3%,635,648,1283
Wyoming,3%,623,615,1238
